,id,name,artists,artistid,explicit,popularity,durationms,year,danceability,acousticness,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,dancepop,edm,pop,poprap,rap,arianagrande,badbunny,billieeilish,brunomars,calvinharris,cardib,chrisbrown,drake,dualipa,edsheeran,justinbieber,kendricklamar,khalid,nickiminaj,postmalone,rihanna,selenagomez,shawnmendes,taylorswift,theweeknd
48,1DunhgeZSEgWiIYbHqXl0c,Latch,"['Disclosure', 'Sam Smith']",6nS5roXSAGhTGr34W6n7Et,False,68,255866,2012,0.729,0.0178,0.735,0.000193,0.089,-5.455,0.0919,121.986,0.544,0.0,1.0,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,5ujh1I7NZH5agbwf7Hp8Hc,Swimming Pools (Drank) - Extended Version,['Kendrick Lamar'],2YZyLoL8N0Wb9xBt1NhZWg,True,67,313786,2012,0.716,0.123,0.485,2.69e-05,0.604,-7.745,0.404,74.132,0.26,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
50,3sP3c86WFjOzHHnbhhZcLA,Give Your Heart a Break,['Demi Lovato'],6S2OmqARrzebs0tKUEyXyp,False,67,205346,2012,0.651,0.23,0.695,0.0,0.144,-3.218,0.0487,123.008,0.569,1.0,0.0,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,16EMONl2vH3rt9f4ehTG8g,212,"['Azealia Banks', 'Lazy Jay']",7gRhy3MIPHQo5CXYfWaw9I,True,67,204956,2012,0.846,0.0123,0.772,0.000106,0.0769,-5.735,0.259,125.998,0.622,1.0,0.0,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,2sEk5R8ErGIFxbZ7rX6S2S,How to Be a Heartbreaker,['MARINA'],6CwfuxIqcltXDGjfZsMd9A,False,67,221493,2012,0.69,0.0142,0.897,0.0,0.108,-4.696,0.0506,140.05,0.849,1.0,0.0,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,6VRhkROS2SZHGlp0pxndbJ,Bangarang (feat. Sirah),"['Skrillex', 'Sirah']",5he5w2lnU9x7JFhnwcekXX,True,67,215253,2012,0.716,0.0145,0.972,3.22e-05,0.317,-2.302,0.196,110.026,0.576,0.0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,53QF56cjZA9RTuuMZDrSA6,I Won't Give Up,['Jason Mraz'],4phGZZrJZRo4ElhRtViYdl,False,66,240165,2012,0.483,0.694,0.303,0.0,0.115,-10.058,0.0429,133.406,0.139,0.0,0.0,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,0RUGuh2uSNFJpGMSsD1F5C,It Will Rain,['Bruno Mars'],0du5cEVh5yTK9QJze8zA0C,False,66,257720,2012,0.576,0.337,0.835,0.0,0.082,-6.826,0.0486,150.017,0.476,1.0,0.0,1.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,0lHAMNU8RGiIObScrsRgmP,Titanium (feat. Sia),"['David Guetta', 'Sia']",1Cs0zKBU1kc0i8ypK3B9ai,False,66,245040,2012,0.604,0.0678,0.788,0.153,0.127,-3.673,0.103,126.06,0.301,1.0,1.0,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,4XNrMwGx1SqP01sqkGTDmo,One More Night,['Maroon 5'],04gDigrS5kc9YWfZHwBETP,False,67,219466,2012,0.718,0.0444,0.82,0.0,0.0846,-3.453,0.0323,92.998,0.613,0.0,0.0,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,6HZ9VeI5IRFCNQLXhpF4bq,I Love It (feat. Charli XCX),"['Icona Pop', 'Charli XCX']",1VBflYyxBhnDc9uVib98rw,True,66,157152,2012,0.711,0.00952,0.906,1.64e-05,0.153,-2.671,0.0284,125.916,0.824,1.0,1.0,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,6t6oULCRS6hnI7rm0h5gwl,Some Nights,['fun.'],5nCi3BB41mBaMH9gfr6Su0,True,66,277040,2012,0.672,0.0178,0.738,6.75e-05,0.0927,-7.045,0.0506,107.938,0.392,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,25cUhiAod71TIQSNicOaW3,Adorn,['Miguel'],360IAlyVv4PCEVjgyMZrxK,False,66,193146,2012,0.625,0.0543,0.576,4.07e-05,0.187,-5.693,0.175,179.063,0.235,1.0,0.0,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,1X1DWw2pcNZ8zSub3uhlNz,Hall of Fame (feat. will.i.am),"['The Script', 'will.i.am']",3AQRLZ9PuTAozP28Skbq8V,False,66,202533,2012,0.421,0.0654,0.873,0.0,0.123,-4.343,0.0564,84.786,0.629,1.0,0.0,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62,4HXOBjwv2RnLpGG4xWOO6N,Princess of China,"['Coldplay', 'Rihanna']",4gzpq5DPGxSnKTe4SA8HAU,False,66,239215,2012,0.42,0.00385,0.69,0.015,0.287,-6.221,0.0347,85.014,0.237,0.0,0.0,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
63,2EcsgXlxz99UMDSPg5T8RF,Beneath Your Beautiful (feat. Emeli Sandé),"['Labrinth', 'Emeli Sandé']",2feDdbD5araYcm6JhFHHw7,False,65,271813,2012,0.561,0.227,0.522,0.0,0.104,-5.857,0.0318,83.962,0.238,0.0,0.0,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64,4kte3OcW800TPvOVgrLLj8,Let Me Love You (Until You Learn To Love Yourself),['Ne-Yo'],21E3waRsmPlU7jZsS13rcj,False,65,251626,2012,0.658,0.248,0.677,0.0,0.368,-6.628,0.0393,124.91,0.248,1.0,0.0,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,439TlnnznSiBbQbgXiBqAd,m.A.A.d city,"['Kendrick Lamar', 'MC Eiht']",2YZyLoL8N0Wb9xBt1NhZWg,True,65,350120,2012,0.487,0.0538,0.729,4.07e-06,0.44,-6.815,0.271,91.048,0.217,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
66,5g7rJvWYVrloJZwKiShqlS,Dirty Paws,['Of Monsters and Men'],4dwdTW1Lfiq0cM8nBAqIIz,False,65,278373,2012,0.359,0.107,0.649,0.0124,0.0555,-7.06,0.0349,111.709,0.133,0.0,0.0,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
